VALIDAÇÃO SE EXISTE ESTOQUE NA FILIAL 76 NO DIA DA VENDA;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
ds_tp_venda_ecom;dt_venda;cd_prod_cor;sg_tamanho;Indicador_Estoque;CHAVE;confere;existe na base?
omnichannel;25/09/2024 00:00;ML.02.0676|003;2;0;45560ML.02.0676|0032;-;nao existe na base
omnichannel;25/09/2024 00:00;CD.02.0133|001;37/38;0;45560CD.02.0133|00137/38;-;nao existe na base
omnichannel;25/09/2024 00:00;BE.13.0054|010;38;1;45560BE.13.0054|01038;8;BE.13.0054|010
omnichannel;25/09/2024 00:00;CD.08.0188|007;38;0;45560CD.08.0188|00738;-;nao existe na base
omnichannel;25/09/2024 00:00;CD.08.0200|001;38;0;45560CD.08.0200|00138;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.18.0318|001;38;0;45560ML.18.0318|00138;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.18.0373|001;39;0;45560ML.18.0373|00139;-;nao existe na base
omnichannel;25/09/2024 00:00;CD.02.0029|007;39/40;0;45560CD.02.0029|00739/40;-2;CD.02.0029|007
omnichannel;25/09/2024 00:00;CD.02.0152|001/205;39/40;1;45560CD.02.0152|001/20539/40;2;CD.02.0152|001/205
omnichannel;25/09/2024 00:00;ML.02.0676|003;4;0;45560ML.02.0676|0034;-;nao existe na base
omnichannel;25/09/2024 00:00;CJ.11.0232|148;40;1;45560CJ.11.0232|14840;11;CJ.11.0232|148
omnichannel;25/09/2024 00:00;CJ.11.0233|148;40;1;45560CJ.11.0233|14840;15;CJ.11.0233|148
omnichannel;25/09/2024 00:00;CJ.13.4793|004;40;1;45560CJ.13.4793|00440;4;CJ.13.4793|004
omnichannel;25/09/2024 00:00;CJ.13.4824|007;40;1;45560CJ.13.4824|00740;6;CJ.13.4824|007
omnichannel;25/09/2024 00:00;CL.09.0729|021;40;1;45560CL.09.0729|02140;1;CL.09.0729|021
omnichannel;25/09/2024 00:00;CL.35.0092|018;40;0;45560CL.35.0092|01840;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.18.0341|148;40;1;45560ML.18.0341|14840;22;ML.18.0341|148
omnichannel;25/09/2024 00:00;ML.18.0373|001;40;0;45560ML.18.0373|00140;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.18.0384|001;40;1;45560ML.18.0384|00140;4;ML.18.0384|001
omnichannel;25/09/2024 00:00;CD.08.0176|001/001;42;1;45560CD.08.0176|001/00142;5;CD.08.0176|001/001
omnichannel;25/09/2024 00:00;CF.06.0056|010;42;0;45560CF.06.0056|01042;-;nao existe na base
omnichannel;25/09/2024 00:00;CJ.13.4793|004;42;1;45560CJ.13.4793|00442;2;CJ.13.4793|004
omnichannel;25/09/2024 00:00;CL.35.0082|021;42;1;45560CL.35.0082|02142;1;CL.35.0082|021
omnichannel;25/09/2024 00:00;CL.37.0064|021;42;1;45560CL.37.0064|02142;4;CL.37.0064|021
omnichannel;25/09/2024 00:00;CL.37.0066|007;42;1;45560CL.37.0066|00742;7;CL.37.0066|007
omnichannel;25/09/2024 00:00;CL.40.0046|010;42;0;45560CL.40.0046|01042;-;nao existe na base
omnichannel;25/09/2024 00:00;BE.07.3004|007;44;1;45560BE.07.3004|00744;12;BE.07.3004|007
omnichannel;25/09/2024 00:00;CJ.07.0218|004;44;0;45560CJ.07.0218|00444;-;nao existe na base
omnichannel;25/09/2024 00:00;CL.35.0081|010;44;1;45560CL.35.0081|01044;3;CL.35.0081|010
omnichannel;25/09/2024 00:00;CL.35.0082|021;44;0;45560CL.35.0082|02144;-;nao existe na base
omnichannel;25/09/2024 00:00;CL.35.0082|061;44;1;45560CL.35.0082|06144;13;CL.35.0082|061
omnichannel;25/09/2024 00:00;ML.18.0359|001;44;1;45560ML.18.0359|00144;2;ML.18.0359|001
omnichannel;25/09/2024 00:00;CJ.07.0241|004;46;0;45560CJ.07.0241|00446;-;nao existe na base
omnichannel;25/09/2024 00:00;CJ.11.0232|148;46;1;45560CJ.11.0232|14846;8;CJ.11.0232|148
omnichannel;25/09/2024 00:00;CJ.13.0174|007;46;0;45560CJ.13.0174|00746;-;nao existe na base
omnichannel;25/09/2024 00:00;CL.09.0729|010;46;0;45560CL.09.0729|01046;-;nao existe na base
omnichannel;25/09/2024 00:00;CL.32.0046|184;46;1;45560CL.32.0046|18446;3;CL.32.0046|184
omnichannel;25/09/2024 00:00;CL.35.0048|005;46;1;45560CL.35.0048|00546;7;CL.35.0048|005
omnichannel;25/09/2024 00:00;CL.35.0048|007;46;1;45560CL.35.0048|00746;6;CL.35.0048|007
omnichannel;25/09/2024 00:00;CL.35.0048|021;46;1;45560CL.35.0048|02146;2;CL.35.0048|021
